Time, temperature C, humidity %
24737, 24.0, 47.5
24840, 24.0, 47.9
24942, 24.1, 48.5
25044, 24.1, 48.2
25146, 24.1, 48.4
25249, 24.0, 48.6
25351, 24.1, 48.5
25453, 24.1, 48.8
25555, 24.1, 48.8
25658, 24.1, 48.9
25760, 24.1, 49.3
25862, 24.1, 48.9
25964, 24.2, 49.0
26067, 24.2, 49.6
26169, 24.2, 49.9
26271, 24.2, 50.1
26373, 24.2, 49.6
26476, 24.2, 49.1
26578, 24.1, 49.2
26680, 24.1, 48.6
26782, 24.1, 48.2
26885, 24.1, 48.1
26987, 24.1, 47.6
27089, 24.0, 47.7
27191, 24.1, 47.6
27294, 24.0, 46.8
27396, 24.0, 47.0
27498, 24.0, 46.7
27600, 24.0, 47.0
27703, 24.0, 47.0
27805, 24.0, 46.8
27907, 24.0, 46.7
28009, 24.1, 46.6
28112, 24.0, 46.6
28214, 24.0, 46.3
28316, 24.0, 46.5
28418, 24.0, 46.5
28521, 24.0, 46.2
28623, 24.0, 45.8
28725, 24.0, 45.7
28827, 24.0, 45.9
28930, 24.0, 46.0
29032, 24.0, 46.4
29134, 24.0, 46.7
29236, 24.0, 46.5
29339, 24.0, 46.6
29441, 24.0, 46.5
29543, 24.0, 46.3
29645, 24.0, 46.5
29748, 24.1, 46.7
29850, 24.0, 46.8
29952, 24.0, 47.9
30054, 24.0, 47.3
30157, 24.0, 46.8
30259, 24.0, 46.7
30361, 24.0, 46.7
30463, 24.0, 47.1
30566, 24.0, 47.1
30668, 24.0, 47.1
30770, 24.0, 46.8
30872, 23.9, 47.1
30975, 23.8, 47.0
31077, 23.8, 47.2
31179, 23.8, 47.3
31281, 23.8, 47.0
31384, 23.7, 46.8
31486, 23.7, 46.2
31588, 23.7, 46.2
31690, 23.7, 46.0
31793, 23.7, 45.8
31895, 23.7, 45.9
31997, 23.7, 45.7
32099, 23.7, 46.0
32202, 23.7, 45.8
32304, 23.7, 45.5
32406, 23.7, 45.3
32508, 23.7, 45.3
32611, 23.7, 45.3
32713, 23.7, 45.2
32815, 23.7, 45.1
32917, 23.7, 44.9
33020, 23.7, 45.1
33122, 23.6, 44.9
33224, 23.6, 44.8
33326, 23.6, 44.8
33429, 23.6, 44.7
33531, 23.6, 44.6
33633, 23.6, 44.7
33735, 23.6, 44.7
33838, 23.6, 44.5
33940, 23.6, 44.3
34042, 23.6, 44.4
34144, 23.6, 44.5
34247, 23.7, 44.4
34349, 23.7, 44.4
34451, 23.7, 44.5
34553, 23.7, 44.4
34656, 23.7, 44.3
34758, 23.7, 44.2
34860, 23.8, 44.3
34962, 23.9, 44.7
35065, 23.9, 44.6
35167, 23.9, 44.5
35269, 23.9, 44.4
35371, 23.9, 44.3
35474, 23.9, 46.0
35576, 24.0, 47.1
35678, 23.9, 47.2
35780, 23.9, 46.9
35883, 23.9, 46.8
35985, 24.0, 46.2
36087, 24.0, 46.3
36189, 24.0, 46.6
36292, 23.9, 46.1
36394, 24.0, 46.2
36496, 23.9, 46.4
36598, 23.9, 45.5
36701, 24.0, 45.7
36803, 24.0, 45.1
36905, 24.0, 45.3
37007, 24.0, 44.8
37110, 24.0, 44.5
37212, 23.9, 44.4
37314, 23.9, 44.2
37416, 23.9, 44.3
37519, 23.9, 43.7
37621, 23.8, 43.5
37723, 23.8, 43.4
37825, 23.8, 43.2
37928, 23.8, 42.8
38030, 23.8, 42.8
38132, 23.8, 43.0
38234, 23.8, 42.8
38337, 23.8, 42.6
38439, 23.8, 42.5
38541, 23.8, 42.5
38643, 23.7, 42.3
38746, 23.8, 42.3
38848, 23.8, 42.2
38950, 23.8, 42.3
39052, 23.8, 42.1
39155, 23.8, 41.8
39257, 23.8, 42.0
39359, 23.8, 41.7
39461, 23.8, 41.9
39564, 23.8, 41.3
39666, 23.8, 41.3
39768, 23.8, 41.1
39870, 23.8, 40.9
39973, 23.8, 40.8
40075, 23.8, 40.7
40177, 23.8, 40.8
40279, 23.8, 40.7
40382, 23.8, 40.4
40484, 23.8, 40.5
40586, 23.8, 40.4
40688, 23.8, 40.4
40791, 23.9, 40.8
40893, 23.9, 41.1
40995, 23.9, 40.7
41097, 23.9, 40.8
41200, 23.9, 41.1
41302, 23.9, 40.8
41404, 24.0, 40.5
41506, 24.0, 40.2
41609, 24.0, 40.2
41711, 24.0, 40.2
41813, 24.0, 40.0
41915, 24.0, 40.2
42018, 24.0, 39.8
42120, 24.0, 40.1
42222, 24.0, 40.2
42324, 24.0, 40.2
42427, 24.0, 39.6
42529, 24.0, 39.6
42631, 24.0, 39.3
42733, 24.0, 39.4
42836, 24.0, 39.1
42938, 24.0, 39.1
43040, 23.9, 39.3
43142, 24.0, 39.3
43245, 24.0, 38.7
43347, 24.0, 39.2
43449, 23.9, 39.0
43551, 23.9, 38.7
43654, 24.0, 39.0
43756, 24.0, 39.0
43858, 23.9, 38.6
43960, 23.9, 38.5
44063, 23.9, 38.4
44165, 24.0, 38.6
44267, 24.0, 38.4
44369, 24.0, 38.4
44472, 24.0, 39.0
44574, 24.1, 38.8
44676, 24.1, 39.0
44778, 24.1, 39.1
44881, 24.1, 38.8
44983, 24.1, 38.9
45085, 24.1, 38.7
45187, 24.1, 38.6
45290, 24.1, 39.0
45392, 24.1, 39.1
45494, 24.1, 38.5
45596, 24.1, 38.6
45699, 24.1, 38.6
45801, 24.2, 38.7
45903, 24.2, 38.3
46005, 24.2, 38.5
46108, 24.2, 38.4
46210, 24.2, 38.1
46312, 24.2, 38.2
46414, 24.2, 38.6
46517, 24.2, 37.8
46619, 24.1, 37.7
46721, 24.1, 37.9
46823, 24.1, 37.7
46926, 24.1, 37.5
47028, 24.2, 38.1
47130, 24.1, 37.3
47232, 24.1, 37.4
47335, 24.1, 37.6
47437, 24.1, 37.1
47539, 24.1, 37.4
47641, 24.1, 37.1
47743, 24.1, 37.1
47846, 24.1, 37.2
47948, 24.1, 37.1
48050, 24.1, 37.0
48152, 24.1, 36.9
48255, 24.1, 37.1
48357, 24.1, 36.6
48459, 24.1, 36.8
48561, 24.1, 36.6
48664, 24.1, 36.6
48766, 24.1, 36.7
48868, 24.1, 37.1
48970, 24.1, 36.5
49073, 24.1, 36.8
49175, 24.1, 36.5
49277, 24.1, 36.4
49379, 24.1, 36.4
49482, 24.1, 36.2
49584, 24.1, 36.4
49686, 24.1, 36.3
49788, 24.1, 36.2
49891, 24.1, 36.2
49993, 24.1, 36.1
50095, 24.1, 35.9
50197, 24.1, 36.2
50300, 24.2, 36.1
50402, 24.2, 35.9
50504, 24.2, 36.4
50606, 24.2, 36.6
50709, 24.2, 36.0
50811, 24.2, 36.1
50913, 24.2, 36.4
51015, 24.2, 35.8
51118, 24.2, 36.2
51220, 24.1, 35.7
51322, 24.2, 36.2
51424, 24.2, 36.3
51527, 24.2, 35.6
51629, 24.2, 36.1
51731, 24.2, 36.3
51833, 24.2, 35.7
51936, 24.2, 36.1
52038, 24.2, 36.2
52140, 24.1, 35.5
52242, 24.1, 35.7
52345, 24.2, 36.2
52447, 24.2, 35.7
52549, 24.1, 35.5
52651, 24.1, 35.4
52754, 24.1, 35.4
52856, 24.1, 34.9
52958, 24.1, 35.5
53060, 24.1, 34.5
53163, 24.1, 34.7
53265, 24.1, 34.4
53367, 24.0, 33.9
53469, 24.1, 33.8
53572, 24.1, 33.6
53674, 24.2, 40.2
53776, 24.2, 33.8
53879, 24.2, 33.7
53981, 24.2, 33.0
54083, 24.1, 34.3
54185, 24.2, 32.9
54288, 24.1, 33.1
54390, 24.1, 32.9
54492, 24.1, 32.6
54594, 24.0, 32.4
54696, 24.0, 32.1
54798, 24.0, 31.6
54901, 24.0, 31.7
55003, 23.9, 31.3
55105, 23.9, 32.0
55207, 24.0, 32.5
55310, 24.0, 32.3
55412, 24.0, 32.2
55514, 23.9, 32.0
55616, 23.9, 32.1
55719, 23.9, 32.3
55821, 24.0, 32.3
55923, 24.0, 32.7
56025, 23.9, 32.6
56128, 24.0, 32.5
56230, 24.0, 32.7
56332, 24.0, 32.8
56434, 23.9, 32.7
56537, 23.9, 32.8
56639, 23.9, 32.8
56741, 23.9, 32.9
56843, 23.9, 33.0
56946, 23.9, 32.8
57048, 23.9, 33.0
57150, 23.8, 32.7
57252, 23.8, 32.8
57355, 23.9, 32.9
57457, 23.9, 33.0
57559, 23.9, 33.1
57661, 23.9, 33.3
57764, 24.0, 33.5
57866, 24.1, 34.2
57968, 24.2, 33.6
58070, 24.1, 33.8
58173, 24.1, 34.1
58275, 24.1, 33.8
58377, 24.1, 34.3
58479, 24.1, 34.0
58582, 24.1, 33.9
58684, 24.1, 34.1
58786, 24.1, 34.4
58888, 24.1, 33.8
58991, 24.1, 33.8
59093, 24.1, 33.8
59195, 24.1, 34.1
59297, 24.1, 34.4
59400, 24.1, 35.1
59502, 24.1, 35.1
59604, 24.1, 35.8
59706, 24.1, 35.8
59809, 24.1, 36.0
59911, 24.1, 36.3
